timestamp,confirmed,deaths,recovered,active
2/14/2020,1,0,0,1
2/15/2020,1,0,0,1
2/16/2020,1,0,0,1
2/17/2020,1,0,0,1
2/18/2020,1,0,0,1
2/19/2020,1,0,0,1
2/20/2020,1,0,0,1
2/21/2020,1,0,0,1
2/22/2020,1,0,0,1
2/23/2020,1,0,0,1
2/24/2020,1,0,0,1
2/25/2020,1,0,0,1
2/26/2020,1,0,0,1
2/27/2020,1,0,0,1
2/28/2020,1,0,1,0
2/29/2020,1,0,1,0
3/1/2020,2,0,1,1
3/2/2020,2,0,1,1
3/3/2020,2,0,1,1
3/4/2020,2,0,1,1
3/5/2020,3,0,1,2
3/6/2020,15,0,1,14
3/7/2020,15,0,1,14
3/8/2020,49,1,1,47
3/9/2020,55,1,12,42
3/10/2020,59,1,1,57
3/11/2020,60,1,27,32
3/12/2020,67,1,27,39
3/13/2020,80,2,27,51
3/14/2020,109,2,27,80
3/15/2020,110,2,21,87
3/16/2020,150,2,27,121
3/17/2020,196,4,32,160
3/18/2020,196,6,32,158
3/19/2020,256,6,32,218
3/20/2020,285,8,39,238
3/21/2020,294,10,41,243
3/22/2020,327,14,56,257
3/23/2020,366,19,68,279
3/24/2020,402,20,80,302
3/25/2020,456,21,95,340
3/26/2020,495,24,102,369
3/27/2020,536,30,116,390
3/28/2020,576,36,121,419
3/29/2020,609,40,132,437
3/30/2020,656,41,150,465
3/31/2020,710,46,157,507
4/1/2020,779,52,179,548
4/2/2020,865,58,201,606
4/3/2020,985,66,216,703
4/4/2020,1070,71,241,758
4/5/2020,1173,78,247,848
4/6/2020,1322,85,259,978
4/7/2020,1450,94,276,1080
4/8/2020,1560,103,305,1152
4/9/2020,1699,118,348,1233
4/10/2020,1794,135,384,1275
4/11/2020,1939,146,426,1367
4/12/2020,2065,159,589,1317
4/13/2020,2190,164,589,1437
4/14/2020,2350,178,589,1583
4/15/2020,2505,183,589,1733
4/16/2020,2673,196,596,1881
4/17/2020,2844,205,646,1993
4/18/2020,3032,224,701,2107
4/19/2020,3144,239,732,2173
4/20/2020,3333,250,821,2262
4/21/2020,3490,264,870,2356
4/22/2020,3659,276,935,2448
4/23/2020,3891,287,1004,2600
4/24/2020,4092,294,1075,2723
4/25/2020,4319,307,1114,2898
4/26/2020,4534,317,1176,3041
4/27/2020,4782,337,1236,3209
4/28/2020,5042,359,1304,3379
4/29/2020,5268,380,1335,3553
4/30/2020,5537,392,1381,3764
5/1/2020,5895,406,1460,4029
5/2/2020,6193,415,1522,4256
5/3/2020,6465,429,1562,4474
5/4/2020,6813,436,1632,4745
5/5/2020,7201,452,1730,5019
5/6/2020,7588,469,1815,5304
5/7/2020,7981,482,1887,5612
5/8/2020,8476,503,1945,6028
5/9/2020,8964,514,2002,6448
5/10/2020,9400,525,2075,6800
5/11/2020,9746,533,2172,7041
5/12/2020,10093,544,2326,7223
5/13/2020,10431,556,2486,7389
5/14/2020,10829,571,2626,7632
5/15/2020,11228,592,2799,7837
5/16/2020,11719,612,2950,8157
5/17/2020,12229,630,3172,8427
5/18/2020,12764,645,3440,8679
5/19/2020,13484,659,3742,9083
5/20/2020,14229,680,3994,9555
5/21/2020,15003,696,4217,10090
5/22/2020,15786,707,4374,10705
5/23/2020,16513,735,4628,11150
5/24/2020,17265,764,4807,11694
5/25/2020,17967,783,4900,12284
5/26/2020,18756,797,5027,12932
5/27/2020,19666,816,5205,13645
5/28/2020,20793,845,5359,14589
5/29/2020,22082,879,5511,15692
5/30/2020,23449,913,5693,16843
5/31/2020,24985,959,6037,17989
6/1/2020,26384,1005,6447,18932
6/2/2020,27536,1052,6827,19657
6/3/2020,28615,1088,7350,20177
6/4/2020,29767,1126,7756,20885
6/5/2020,31115,1166,8158,21791
6/6/2020,32612,1198,8538,22876
6/7/2020,34079,1237,8961,23881
6/8/2020,35444,1271,9375,24798
6/9/2020,36829,1306,9786,25737
6/10/2020,38284,1342,10289,26653
6/11/2020,39726,1377,10691,27658
6/12/2020,41303,1422,11108,28773
6/13/2020,42980,1484,11529,29967
6/14/2020,44598,1575,11931,31092
6/15/2020,46289,1672,12329,32288
6/16/2020,47856,1766,12730,33360
6/17/2020,49219,1850,13141,34228
6/18/2020,50437,1938,13528,34971
6/19/2020,52211,2017,13928,36266
6/20/2020,53758,2106,14327,37325
6/21/2020,55233,2193,14736,38304
6/22/2020,56809,2278,15133,39398
6/23/2020,58141,2365,15535,40241
6/24/2020,59561,2450,15935,41176
6/25/2020,61130,2533,16338,42259
6/26/2020,62755,2620,16737,43398
6/27/2020,63923,2708,17140,44075
6/28/2020,65188,2789,17539,44860
6/29/2020,66754,2872,17951,45931
6/30/2020,68311,2953,18460,46898
7/1/2020,69814,3034,18881,47899
7/2/2020,71299,3120,19288,48891
7/3/2020,72711,3201,19690,49820
7/4/2020,74035,3280,20103,50652
7/5/2020,75253,3343,20726,51184
7/6/2020,76222,3422,21238,51562
7/7/2020,77279,3489,21718,52072
7/8/2020,78304,3564,22241,52499
7/9/2020,79254,3617,22753,52884
7/10/2020,80235,3702,23274,53259
7/11/2020,81158,3769,23876,53513
7/12/2020,82070,3858,24419,53793
7/13/2020,83001,3935,24975,54091
7/14/2020,83930,4008,25544,54378
7/15/2020,84843,4067,26135,54641
7/16/2020,85771,4120,26691,54960
7/17/2020,86474,4188,27302,54984
7/18/2020,87172,4251,27868,55053
7/19/2020,87775,4302,28380,55093
7/20/2020,88402,4352,28924,55126
7/21/2020,89078,4399,29473,55206
7/22/2020,89745,4440,30075,55230
7/23/2020,90413,4480,31066,54867
7/24/2020,91072,4518,31970,54584
7/25/2020,91583,4558,32903,54122
7/26/2020,92062,4606,33831,53625
7/27/2020,92482,4652,34838,52992
7/28/2020,92947,4691,35959,52297
7/29/2020,93356,4728,37025,51603
7/30/2020,93757,4774,38236,50747
7/31/2020,94078,4805,39638,49635
8/1/2020,94316,4834,41137,48345
8/2/2020,94483,4865,42455,47163
8/3/2020,94640,4888,44066,45686
8/4/2020,94752,4912,45569,44271
8/5/2020,94875,4930,47182,42763
8/6/2020,95006,4951,48898,41157
8/7/2020,95147,4971,50553,39623
8/8/2020,95314,4992,51672,38650
8/9/2020,95492,5009,52678,37805
8/10/2020,95666,5035,53779,36852
8/11/2020,95834,5059,54888,35887
8/12/2020,95963,5085,55901,34977
8/13/2020,96108,5107,56890,34111
8/14/2020,96220,5124,57858,33238
8/15/2020,96336,5141,58835,32360
8/16/2020,96475,5160,59743,31572
8/17/2020,96590,5173,60651,30766
8/18/2020,96753,5184,61562,30007
8/19/2020,96914,5197,62553,29164
8/20/2020,97025,5212,63462,28351
8/21/2020,97148,5231,64318,27599
8/22/2020,97237,5243,65118,26876
8/23/2020,97340,5262,65927,26151
8/24/2020,97478,5280,66817,25381
8/25/2020,97619,5298,67717,24604
8/26/2020,97825,5317,68713,23795
8/27/2020,98062,5342,69612,23108
8/28/2020,98285,5362,70419,22504
8/29/2020,98497,5376,71302,21819
8/30/2020,98727,5399,72120,21208
8/31/2020,98939,5421,72929,20589
9/1/2020,99115,5440,73828,19847
9/2/2020,99280,5461,74626,19193
9/3/2020,99425,5479,75415,18531
9/4/2020,99582,5495,76305,17782
9/5/2020,99712,5511,77208,16993
9/6/2020,99863,5530,78108,16225
9/7/2020,100041,5541,79008,15492
9/8/2020,100228,5560,79886,14782
9/9/2020,100403,5577,80689,14137
9/10/2020,100557,5590,81597,13370
9/11/2020,100708,5607,82473,12628
9/12/2020,100856,5627,83261,11968
9/13/2020,101009,5648,84161,11200
9/14/2020,101177,5661,84969,10547
9/15/2020,101340,5679,85745,9916
9/16/2020,101500,5696,86549,9255
9/17/2020,101641,5715,87158,8768
9/18/2020,101772,5733,87958,8081
9/19/2020,101900,5750,88666,7484
9/20/2020,102015,5770,89532,6713
9/21/2020,102141,5787,90332,6022
9/22/2020,102254,5806,91143,5305
9/23/2020,102375,5822,91843,4710
9/24/2020,102513,5835,92644,4034
9/25/2020,102625,5853,93531,3241
9/26/2020,102736,5869,94374,2493
9/27/2020,102840,5883,95080,1877
9/28/2020,102955,5901,95586,1468
9/29/2020,103079,5914,96094,1071
9/30/2020,103198,5930,96494,774
10/1/2020,103317,5946,96855,516
10/2/2020,103466,5956,97143,367
10/3/2020,103575,5970,97274,331
10/4/2020,103683,5981,97355,347
10/5/2020,103781,5990,97398,393
10/6/2020,103902,6001,97449,452
10/7/2020,104035,6010,97492,533
10/8/2020,104156,6017,97524,615
10/9/2020,104262,6029,97592,641
10/10/2020,104387,6040,97643,704
10/11/2020,104516,6052,97688,776
10/12/2020,104648,6062,97743,843
10/13/2020,104787,6071,97841,875
10/14/2020,104915,6077,97920,918
10/15/2020,105033,6088,98011,934
10/16/2020,105159,6099,98089,971
10/17/2020,105297,6109,98157,1031
10/18/2020,105424,6120,98247,1057
10/19/2020,105547,6130,98314,1103
10/20/2020,105705,6142,98413,1150
10/21/2020,105883,6155,98516,1212
10/22/2020,106060,6166,98624,1270
10/23/2020,106230,6176,98713,1341
10/24/2020,106397,6187,98813,1397
10/25/2020,106540,6199,98903,1438
10/26/2020,106707,6211,98981,1515
10/27/2020,106877,6222,99084,1571
10/28/2020,107030,6234,99174,1622
10/29/2020,107209,6247,99273,1689
10/30/2020,107376,6258,99353,1765
10/31/2020,107555,6266,99452,1837
11/1/2020,107736,6278,99555,1903
11/2/2020,107925,6291,99652,1982
11/3/2020,108122,6305,99765,2052
11/4/2020,108329,6318,99874,2137
11/5/2020,108530,6329,100006,2195
11/6/2020,108754,6343,100106,2305
11/7/2020,108962,6355,100239,2368
11/8/2020,109201,6368,100342,2491
11/9/2020,109422,6380,100439,2603
11/10/2020,109654,6394,100540,2720
11/11/2020,109881,6405,100662,2814
11/12/2020,110095,6417,100760,2918
11/13/2020,110319,6429,100847,3043
11/14/2020,110547,6442,100946,3159
11/15/2020,110767,6453,101046,3268
11/16/2020,111009,6465,101179,3365
11/17/2020,111284,6481,101288,3515
11/18/2020,111613,6495,101421,3697
11/19/2020,111955,6508,101564,3883
11/20/2020,112318,6521,101685,4112
11/21/2020,112676,6535,101783,4358
11/22/2020,113027,6548,101881,4598
11/23/2020,113381,6560,101981,4840
11/24/2020,113742,6573,102103,5066
11/25/2020,114107,6585,102201,5321
11/26/2020,114475,6596,102268,5611
11/27/2020,114832,6608,102390,5834
11/28/2020,115183,6621,102490,6072
11/29/2020,115541,6636,102596,6309
11/30/2020,115911,6650,102718,6543
12/1/2020,116303,6666,102816,6821
12/2/2020,116724,6694,102949,7081
12/3/2020,117156,6713,103082,7361
12/4/2020,117583,6732,103191,7660
12/5/2020,118014,6750,103324,7940
12/6/2020,118432,6771,103501,8160
12/7/2020,118847,6790,103703,8354
12/8/2020,119281,6813,103913,8555
12/9/2020,119702,6832,104074,8796
12/10/2020,120147,6854,104281,9012
12/11/2020,120611,6877,104499,9235
12/12/2020,121089,6898,104710,9481
12/13/2020,121575,6920,104875,9780
12/14/2020,122086,6943,105132,10011
12/15/2020,122609,6966,105450,10193
12/16/2020,123153,6990,105719,10444
12/17/2020,123701,7015,105919,10767
12/18/2020,124280,7041,106157,11082
12/19/2020,124891,7069,106481,11341
12/20/2020,125555,7098,106817,11640
12/21/2020,126273,7130,107162,11981
12/22/2020,127061,7167,107563,12331
12/23/2020,127972,7209,107961,12802
12/24/2020,128993,7260,108474,13259
12/25/2020,130126,7309,108985,13832
12/26/2020,131315,7352,109462,14501
12/27/2020,132541,7405,110015,15121
12/28/2020,133900,7466,110436,15998
12/29/2020,135233,7520,111040,16673
12/30/2020,136644,7576,111451,17617
12/31/2020,138062,7631,112105,18326
1/1/2021,139471,7687,112826,18958
1/2/2021,140878,7741,113480,19657
1/3/2021,142187,7805,113898,20484
1/4/2021,143464,7863,114601,21000
1/5/2021,144583,7918,115414,21251
1/6/2021,145590,7975,115975,21640
1/7/2021,146809,8029,116775,22005
1/8/2021,147810,8085,117529,22196
1/9/2021,148799,8142,118294,22363
1/10/2021,149792,8197,118900,22695
1/11/2021,150753,8249,119212,23292
1/12/2021,151723,8304,119635,23784
1/13/2021,152719,8362,120312,24045
1/14/2021,153741,8421,121072,24248
1/15/2021,154620,8473,121792,24355
1/16/2021,155507,8527,122291,24689
1/17/2021,156397,8583,122993,24821
1/18/2021,157275,8638,123491,25146
1/19/2021,158174,8696,124094,25384
1/20/2021,158963,8747,124605,25611
1/21/2021,159715,8801,125171,25743
1/22/2021,160463,8853,125603,26007
1/23/2021,161143,8902,126176,26065
1/24/2021,161817,8959,126497,26361
1/25/2021,162486,9012,127001,26473
1/26/2021,163129,9067,127433,26629
1/27/2021,163761,9115,127963,26683
1/28/2021,164282,9169,128440,26673
1/29/2021,164871,9217,128800,26854
1/30/2021,165418,9263,129293,26862
1/31/2021,165951,9316,129636,26999
2/1/2021,166492,9360,130107,27025
2/2/2021,167013,9407,130514,27092
2/3/2021,167525,9460,130912,27153
2/4/2021,168057,9512,131211,27334
2/5/2021,168597,9560,131632,27405
2/6/2021,169106,9604,132054,27448
2/7/2021,169640,9651,132375,27614
2/8/2021,170207,9699,132698,27810
2/9/2021,170780,9751,133098,27931
2/10/2021,171390,9804,133331,28255
2/11/2021,171993,9857,133707,28429
2/12/2021,172602,9899,134215,28488
2/13/2021,173202,9935,134638,28629
2/14/2021,173813,9994,134960,28859
2/15/2021,174426,10050,135349,29027
2/16/2021,175059,10101,135670,29288
2/17/2021,175677,10150,136081,29446
2/18/2021,176333,10201,136490,29642
2/19/2021,176943,10250,136889,29804
2/20/2021,177543,10298,137294,29951
2/21/2021,178151,10353,137837,29961
2/22/2021,178774,10404,138183,30187
2/23/2021,179407,10443,138683,30281
2/24/2021,180051,10495,139072,30484
2/25/2021,180640,10541,139494,30605
2/26/2021,181241,10590,139927,30724
2/27/2021,181829,10639,140460,30730
2/28/2021,182424,10688,140892,30844
3/1/2021,183010,10736,141347,30927
3/2/2021,183591,10778,141655,31158
3/3/2021,184168,10822,142155,31191
3/4/2021,184755,10871,142610,31274
3/5/2021,185334,10916,143143,31275
3/6/2021,185922,10954,143575,31393
3/7/2021,186503,10995,144019,31489
3/8/2021,187094,11038,144485,31571
3/9/2021,187716,11082,144917,31717
3/10/2021,188361,11128,145418,31815
3/11/2021,189000,11169,145923,31908
3/12/2021,189639,11214,146434,31991
3/13/2021,190280,11256,146803,32221
3/14/2021,190924,11300,147234,32390
3/15/2021,191555,11340,147767,32448
3/16/2021,192195,11384,148089,32722
3/17/2021,192840,11431,148424,32985
3/18/2021,193482,11472,148823,33187
3/19/2021,194127,11512,149256,33359
3/20/2021,194771,11557,149489,33725
3/21/2021,195418,11598,149934,33886
3/22/2021,196061,11637,150424,34000
3/23/2021,196709,11680,150924,34105
3/24/2021,197350,11720,151444,34186
3/25/2021,198011,11768,151765,34478
3/26/2021,198681,11804,152198,34679
3/27/2021,199364,11845,152642,34877
3/28/2021,200050,11882,153175,34993
3/29/2021,200739,11914,153630,35195
3/30/2021,201432,11956,154194,35282
3/31/2021,202131,11995,154694,35442
4/1/2021,202843,12041,155016,35786
4/2/2021,203546,12084,155448,36014
4/3/2021,204256,12123,155886,36247
4/4/2021,204965,12163,156219,36583
4/5/2021,205732,12210,156574,36948
4/6/2021,206510,12253,157006,37251
4/7/2021,207293,12290,157450,37553
4/8/2021,208082,12323,157889,37870
4/9/2021,208876,12362,158454,38060
4/10/2021,209677,12405,159054,38218
4/11/2021,210489,12445,159499,38545
4/12/2021,211307,12487,159999,38821
4/13/2021,212130,12526,160431,39173
4/14/2021,212961,12570,161031,39360
4/15/2021,213798,12611,161470,39717
4/16/2021,214639,12653,162170,39816
4/17/2021,215484,12694,162714,40076
4/18/2021,216334,12738,163479,40117
4/19/2021,217186,12778,163812,40596
4/20/2021,218041,12820,164368,40853
4/21/2021,218902,12866,164803,41233
4/22/2021,219774,12914,165348,41512
4/23/2021,220658,12959,166024,41675
4/24/2021,221570,12998,166457,42115
4/25/2021,222523,13049,167024,42450
4/26/2021,223514,13107,167900,42507
4/27/2021,224517,13168,168665,42684
4/28/2021,225528,13219,169308,43001
4/29/2021,226531,13278,170008,43245
4/30/2021,227552,13339,170773,43440
5/1/2021,228584,13402,171542,43640
5/2/2021,229635,13469,172342,43824
5/3/2021,230713,13531,172774,44408
5/4/2021,231803,13591,173341,44871
5/5/2021,232905,13655,174217,45033
5/6/2021,234015,13714,175117,45184
5/7/2021,235140,13779,175928,45433
5/8/2021,236272,13845,176363,46064
5/9/2021,237410,13904,176763,46743
5/10/2021,238560,13972,177440,47148
5/11/2021,239740,14033,178241,47466
5/12/2021,240927,14091,178805,48031
5/13/2021,242120,14150,179261,48709
5/14/2021,243317,14206,179817,49294
5/15/2021,244520,14269,180577,49674
5/16/2021,245721,14327,181478,49916
5/17/2021,246909,14388,182024,50497
5/18/2021,248078,14441,182693,50944
5/19/2021,249238,14498,183696,51044
5/20/2021,250391,14559,184373,51459
5/21/2021,251539,14611,185243,51685
5/22/2021,252690,14670,186223,51797
5/23/2021,253835,14721,186678,52436
5/24/2021,254984,14766,187446,52772
5/25/2021,256124,14807,187691,53626
5/26/2021,257275,14850,188567,53858
5/27/2021,258407,14904,189476,54027
5/28/2021,259540,14950,190254,54336
5/29/2021,260659,15001,191475,54183
5/30/2021,261666,15047,191475,55144
5/31/2021,262650,15096,192112,55442
6/1/2021,263606,15136,192823,55647
6/2/2021,264557,15178,193491,55888
6/3/2021,265489,15222,194291,55976
6/4/2021,266350,15268,195072,56010
6/5/2021,267171,15309,195871,55991
6/6/2021,267972,15352,196604,56016
6/7/2021,268754,15399,197281,56074
6/8/2021,269527,15437,197832,56258
6/9/2021,270292,15471,198632,56189
6/10/2021,271047,15510,199285,56252
6/11/2021,271780,15547,199840,56393
6/12/2021,272491,15582,200273,56636
6/13/2021,273182,15623,201038,56521
6/14/2021,273795,15654,201739,56402
6/15/2021,274404,15691,202650,56063
6/16/2021,275010,15723,203193,56094
6/17/2021,275601,15760,203802,56039
6/18/2021,276190,15791,204701,55698
6/19/2021,276756,15829,205157,55770
6/20/2021,277288,15859,205613,55816
6/21/2021,277797,15898,206053,55846
6/22/2021,278295,15935,206852,55508
6/23/2021,278761,15967,207411,55383
6/24/2021,279184,16002,208192,54990
6/25/2021,279596,16031,208957,54608
6/26/2021,280005,16062,209395,54548
6/27/2021,280394,16092,210052,54250
6/28/2021,280770,16125,210482,54163
6/29/2021,281031,16148,210805,54078
6/30/2021,281282,16169,211384,53729
7/1/2021,281524,16194,212059,53271
7/2/2021,281722,16215,212725,52782
7/3/2021,281903,16242,213628,52033
7/4/2021,282082,16264,214087,51731
7/5/2021,282257,16284,214852,51121
7/6/2021,282421,16306,215419,50696
7/7/2021,282582,16332,216217,50033
7/8/2021,282737,16351,216982,49404
7/9/2021,282864,16368,217324,49172
7/10/2021,282985,16383,217756,48846
7/11/2021,283102,16396,218412,48294
7/12/2021,283212,16403,219291,47518
7/13/2021,283320,16412,219525,47383
7/14/2021,283409,16418,220530,46461
7/15/2021,283490,16425,221516,45549
7/16/2021,283567,16431,222315,44821
7/17/2021,283636,16439,223213,43984
7/18/2021,283636,16439,223213,43984
7/19/2021,283762,16452,224299,43011
7/20/2021,283813,16457,225068,42288
7/21/2021,283862,16465,225869,41528
7/22/2021,283906,16470,226535,40901
7/23/2021,283947,16477,227068,40402
7/24/2021,283985,16481,227490,40014
7/25/2021,284024,16487,227612,39925
7/26/2021,284059,16494,227970,39595
7/27/2021,284090,16498,228624,38968
7/28/2021,284128,16507,228836,38785
7/29/2021,284170,16514,229167,38489
7/30/2021,284215,16518,229712,37985
7/31/2021,284262,16524,230368,37370
8/1/2021,284311,16528,230699,37084
8/2/2021,284362,16535,231259,36568
8/3/2021,284415,16540,232060,35815
8/4/2021,284472,16550,232179,35743
8/5/2021,284523,16557,232280,35686
8/6/2021,284580,16562,232601,35417
8/7/2021,284641,16566,232825,35250
8/8/2021,284706,16575,233227,34904
8/9/2021,284789,16582,233298,34909
8/10/2021,284875,16588,233405,34882
8/11/2021,284966,16597,233517,34852
8/12/2021,285061,16604,233729,34728
8/13/2021,285158,16609,233772,34777
8/14/2021,285257,16615,233881,34761
8/15/2021,285358,16619,234114,34625
8/16/2021,285465,16625,234250,34590
8/17/2021,285577,16630,234449,34498
8/18/2021,285700,16638,234878,34184
8/19/2021,285831,16647,235317,33867
8/20/2021,285995,16654,235424,33917
8/21/2021,286168,16663,235635,33870
8/22/2021,286352,16671,235864,33817
8/23/2021,286541,16676,236075,33790
8/24/2021,286735,16683,236228,33824
8/25/2021,286938,16691,236539,33708
8/26/2021,287159,16701,237056,33402
8/27/2021,287393,16706,237385,33302
8/28/2021,287644,16714,237817,33113
8/29/2021,287899,16721,238249,32929
8/30/2021,288162,16727,238580,32855
8/31/2021,288441,16736,239343,32362
